Name,Line No.,Type,is_list,class_obj_name,nested_table,Offset,Width
main,16,func_def,0,,main,0,0
len,0,func_def,0,,len,0,0
range,0,func_def,0,,range,0,0
bubbleSort,1,func_def,0,,bubbleSort,0,0
print,0,func_def,0,,print,0,0
while,0,int,0,,NULL,0,0
or,0,int,0,,NULL,0,0
not,0,int,0,,NULL,0,0
in,0,int,0,,NULL,0,0
raise,0,int,0,,NULL,0,0
nonlocal,0,int,0,,NULL,0,0
True,0,bool,0,,NULL,0,0
__name__,0,str,0,,NULL,0,0
break,0,int,0,,NULL,0,0
if,0,int,0,,NULL,0,0
assert,0,int,0,,NULL,0,0
class,0,int,0,,NULL,0,0
else,0,int,0,,NULL,0,0
for,0,int,0,,NULL,0,0
continue,0,int,0,,NULL,0,0
return,0,int,0,,NULL,0,0
None,0,none,0,,NULL,0,0
and,0,int,0,,NULL,0,0
def,0,int,0,,NULL,0,0
elif,0,int,0,,NULL,0,0
global,0,int,0,,NULL,0,0
False,0,bool,0,,NULL,0,0
from,0,int,0,,NULL,0,0
l,24,int,0,,NULL,24,0
i,22,int,0,,NULL,20,0
data,18,int,1,,NULL,0,20
len_param,0,any,1,,NULL,0,0
temp,11,int,0,,NULL,17,0
m,8,int,0,,NULL,13,0
j,7,int,0,,NULL,9,0
swapped,6,bool,0,,NULL,8,0
l,4,int,0,,NULL,4,0
i,3,int,0,,NULL,0,0
array,1,int,1,,NULL,0,0
print_param,0,any,0,,NULL,0,0
